                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3059,                 1.8959,                 1.2288,                0.89238,                0.86548,                0.94178,                0.66128,                 1.0222,                0.64886,                 1.0776,              0.0033263,              0.0033263,              0.0033263
                      2,                 1.1346,                0.84388,                 1.0888,                0.89594,                0.88275,                0.92605,                0.64522,                 1.0477,                0.70716,                 1.1182,              0.0065937,              0.0065937,              0.0065937
                      3,                 1.2015,                0.90605,                 1.1304,                  0.867,                0.84939,                0.90829,                0.62963,                 1.0895,                0.76949,                 1.1566,              0.0097951,              0.0097951,              0.0097951
                      4,                 1.2411,                0.92899,                 1.1586,                0.85238,                0.87435,                0.89504,                0.61358,                 1.0944,                0.74756,                 1.1657,               0.009703,               0.009703,               0.009703
                      5,                 1.1909,                0.86837,                 1.1398,                0.86007,                0.87302,                0.92639,                0.64894,                  1.054,                0.70877,                 1.1509,               0.009604,               0.009604,               0.009604
                      6,                 1.1394,                0.79632,                  1.122,                0.90591,                0.90474,                0.95704,                0.67095,                 1.0119,                0.69403,                 1.1304,               0.009505,               0.009505,               0.009505
                      7,                 1.1041,                0.75049,                 1.1118,                0.89095,                  0.879,                0.92399,                0.66238,                 1.0357,                0.66338,                 1.1417,               0.009406,               0.009406,               0.009406
                      8,                 1.0837,                0.72035,                 1.0991,                0.90666,                0.93803,                0.96142,                0.70241,                0.98493,                0.58775,                 1.1169,               0.009307,               0.009307,               0.009307
                      9,                 1.0566,                0.69857,                 1.0916,                0.92223,                0.91144,                0.96433,                0.71083,                0.97963,                 0.5813,                 1.1181,               0.009208,               0.009208,               0.009208
                     10,                   1.04,                0.67045,                 1.0824,                 0.9091,                0.92383,                0.96027,                0.70039,                 0.9425,                0.57671,                 1.0868,               0.009109,               0.009109,               0.009109
                     11,                 1.0185,                0.65843,                 1.0769,                0.92471,                0.92878,                0.95927,                0.71221,                0.95832,                0.54976,                 1.1034,                0.00901,                0.00901,                0.00901
                     12,                 1.0081,                0.64836,                 1.0701,                 0.9095,                0.93646,                0.96264,                0.72791,                 0.9127,                0.54683,                 1.0715,               0.008911,               0.008911,               0.008911
                     13,                0.99692,                0.62698,                 1.0638,                 0.9397,                 0.9266,                0.96404,                0.72648,                0.91668,                0.51557,                 1.0833,               0.008812,               0.008812,               0.008812
                     14,                  0.979,                 0.6147,                 1.0496,                0.91774,                0.93725,                0.96093,                0.71905,                0.92951,                0.53523,                 1.0888,               0.008713,               0.008713,               0.008713
                     15,                0.97137,                0.60315,                 1.0532,                0.93184,                 0.9371,                0.97023,                0.74407,                0.88393,                0.50382,                 1.0774,               0.008614,               0.008614,               0.008614
                     16,                0.96263,                0.59116,                 1.0542,                0.95056,                0.95989,                0.97518,                0.73752,                0.88894,                 0.4844,                 1.0679,               0.008515,               0.008515,               0.008515
                     17,                0.94843,                0.58266,                 1.0377,                0.93986,                0.95228,                0.96799,                0.74844,                0.87254,                0.48083,                 1.0514,               0.008416,               0.008416,               0.008416
                     18,                 0.9386,                0.57312,                 1.0323,                0.93126,                0.95144,                0.97108,                0.74889,                0.87284,                0.49147,                 1.0627,               0.008317,               0.008317,               0.008317
                     19,                 0.9313,                 0.5639,                 1.0339,                0.93047,                 0.9522,                0.96708,                0.74146,                0.88729,                0.48477,                 1.0645,               0.008218,               0.008218,               0.008218
                     20,                0.92442,                0.55733,                 1.0258,                0.95184,                0.95666,                 0.9717,                0.76147,                0.85199,                0.46067,                  1.047,               0.008119,               0.008119,               0.008119
                     21,                0.91789,                0.55635,                 1.0268,                0.93205,                0.96645,                0.97271,                0.75405,                0.85942,                 0.4726,                 1.0527,                0.00802,                0.00802,                0.00802
                     22,                0.90146,                0.54105,                 1.0245,                0.94366,                0.96353,                0.97587,                0.76332,                0.85207,                0.46075,                 1.0459,               0.007921,               0.007921,               0.007921
                     23,                0.90405,                0.53776,                 1.0189,                0.94479,                0.95668,                0.97477,                0.76995,                0.84116,                0.45601,                 1.0469,               0.007822,               0.007822,               0.007822
                     24,                0.88897,                0.52531,                 1.0123,                0.95112,                0.95728,                0.97802,                0.76538,                0.85984,                0.44947,                 1.0561,               0.007723,               0.007723,               0.007723
                     25,                0.88432,                0.51915,                 1.0119,                0.95144,                0.95408,                0.97126,                0.76267,                0.83569,                0.44719,                 1.0501,               0.007624,               0.007624,               0.007624
                     26,                0.87733,                0.52012,                 1.0113,                0.93511,                0.97113,                0.97352,                 0.7673,                0.83071,                0.43355,                 1.0421,               0.007525,               0.007525,               0.007525
                     27,                0.86399,                0.50961,                 1.0026,                0.94997,                0.96481,                0.97552,                0.77286,                0.82501,                0.42864,                 1.0352,               0.007426,               0.007426,               0.007426
                     28,                0.87283,                 0.5068,                 1.0038,                0.94433,                0.96305,                0.97468,                0.77657,                0.80947,                0.43101,                 1.0323,               0.007327,               0.007327,               0.007327
                     29,                0.86583,                0.50618,                 1.0049,                0.94769,                0.96574,                0.97456,                0.77187,                0.81496,                0.42852,                  1.039,               0.007228,               0.007228,               0.007228
                     30,                0.85326,                0.49741,                0.99981,                0.94481,                 0.9576,                0.97188,                0.76561,                0.82706,                0.43142,                 1.0448,               0.007129,               0.007129,               0.007129
                     31,                0.84982,                0.49212,                0.99906,                0.95435,                0.96671,                0.97918,                0.78028,                0.80278,                0.41905,                 1.0279,                0.00703,                0.00703,                0.00703
                     32,                0.84409,                0.48644,                0.99317,                0.94504,                0.95595,                0.97448,                0.77575,                0.82907,                0.41822,                 1.0473,               0.006931,               0.006931,               0.006931
                     33,                 0.8416,                0.47932,                0.99181,                0.95275,                0.95663,                  0.976,                0.77683,                0.81541,                0.42607,                 1.0382,               0.006832,               0.006832,               0.006832
                     34,                0.84027,                0.47865,                0.98766,                0.95253,                0.96359,                0.97619,                0.77997,                0.80467,                0.41928,                 1.0236,               0.006733,               0.006733,               0.006733
                     35,                0.83182,                0.47372,                0.98642,                0.95334,                0.95738,                0.97683,                0.77785,                0.80664,                0.41344,                 1.0432,               0.006634,               0.006634,               0.006634
                     36,                0.82758,                0.46998,                0.98645,                0.94954,                0.96218,                0.97587,                0.78445,                0.79403,                0.41609,                 1.0215,               0.006535,               0.006535,               0.006535
                     37,                0.82246,                0.46402,                0.99013,                0.95371,                0.96381,                0.97971,                0.79154,                0.78832,                0.40405,                 1.0173,               0.006436,               0.006436,               0.006436
                     38,                0.81639,                0.46483,                0.98344,                0.94525,                0.95647,                0.97454,                0.77808,                0.80165,                0.41817,                 1.0266,               0.006337,               0.006337,               0.006337
                     39,                0.81348,                0.45999,                0.98082,                0.94546,                0.96915,                0.97446,                0.78544,                0.78431,                0.39778,                 1.0214,               0.006238,               0.006238,               0.006238
                     40,                0.80693,                0.45378,                0.97621,                0.94726,                0.96232,                0.97695,                0.78865,                0.80381,                0.40918,                 1.0303,               0.006139,               0.006139,               0.006139
                     41,                0.80599,                0.45985,                0.98061,                0.95122,                0.96953,                0.98044,                0.79121,                0.79177,                0.40009,                 1.0212,                0.00604,                0.00604,                0.00604
                     42,                0.80177,                0.44926,                0.97727,                0.94914,                0.96775,                0.98062,                 0.7954,                0.78622,                0.39489,                  1.021,               0.005941,               0.005941,               0.005941
                     43,                0.79411,                0.44663,                0.97285,                 0.9523,                0.96217,                 0.9767,                0.78869,                0.78639,                0.39621,                 1.0268,               0.005842,               0.005842,               0.005842
                     44,                0.78511,                0.43435,                0.97328,                0.94945,                0.97121,                0.97679,                  0.794,                0.77745,                0.38735,                  1.019,               0.005743,               0.005743,               0.005743
                     45,                0.78214,                0.43888,                0.97192,                0.95339,                0.95989,                0.97399,                0.78807,                0.77912,                0.39206,                 1.0194,               0.005644,               0.005644,               0.005644
                     46,                0.78113,                0.43836,                0.96657,                0.95907,                0.97239,                0.97904,                0.79488,                0.77279,                 0.3847,                 1.0164,               0.005545,               0.005545,               0.005545
                     47,                0.77627,                0.42961,                0.96712,                0.95265,                0.96979,                0.98006,                0.80174,                0.77449,                0.37586,                 1.0104,               0.005446,               0.005446,               0.005446
                     48,                0.77007,                0.42579,                0.96471,                0.95609,                0.96627,                 0.9763,                0.79849,                0.77552,                0.37768,                 1.0156,               0.005347,               0.005347,               0.005347
                     49,                0.76528,                0.42522,                0.96469,                0.94788,                0.96393,                0.97563,                0.79609,                0.76727,                0.38019,                 1.0138,               0.005248,               0.005248,               0.005248
                     50,                0.75914,                0.42031,                0.96287,                0.95652,                0.97502,                0.98038,                0.80324,                0.76903,                0.37713,                  1.009,               0.005149,               0.005149,               0.005149
                     51,                0.75236,                0.41456,                0.95517,                0.94835,                0.96182,                0.97513,                0.79936,                0.76077,                0.38461,                  1.012,                0.00505,                0.00505,                0.00505
                     52,                0.74576,                0.41355,                0.95441,                0.94261,                0.96378,                 0.9734,                0.80197,                0.76013,                0.37819,                  1.012,               0.004951,               0.004951,               0.004951
                     53,                0.75411,                0.40816,                0.95849,                0.94596,                0.96308,                  0.973,                0.79575,                0.76517,                0.38105,                 1.0195,               0.004852,               0.004852,               0.004852
                     54,                0.74411,                0.40988,                0.95209,                 0.9527,                 0.9623,                0.97633,                0.79786,                0.76118,                0.38223,                  1.009,               0.004753,               0.004753,               0.004753
                     55,                  0.738,                0.40331,                0.95157,                0.95418,                0.96773,                0.97612,                0.80403,                0.76381,                0.37642,                 1.0192,               0.004654,               0.004654,               0.004654
                     56,                0.73798,                0.40237,                0.95479,                0.95003,                0.96786,                0.97554,                0.79853,                 0.7589,                 0.3714,                 1.0177,               0.004555,               0.004555,               0.004555
                     57,                0.73211,                0.40196,                0.94665,                0.95191,                0.96313,                0.97814,                0.80388,                 0.7556,                0.36791,                 1.0142,               0.004456,               0.004456,               0.004456
                     58,                0.72716,                0.39663,                0.94868,                0.94781,                0.96585,                0.97884,                0.80535,                0.75142,                0.36539,                 1.0068,               0.004357,               0.004357,               0.004357
                     59,                0.71552,                0.39295,                0.94104,                0.95359,                0.97027,                0.97704,                0.80491,                0.75405,                0.35899,                 1.0113,               0.004258,               0.004258,               0.004258
                     60,                0.72794,                0.39268,                0.94575,                0.94716,                0.96484,                0.98067,                0.80848,                 0.7516,                0.36038,                 1.0089,               0.004159,               0.004159,               0.004159
                     61,                0.71461,                0.38939,                0.93903,                0.95238,                0.97408,                0.97897,                0.80699,                0.75236,                0.35975,                 1.0083,                0.00406,                0.00406,                0.00406
                     62,                0.71338,                0.38374,                0.94095,                0.95749,                0.95883,                0.97839,                0.80936,                0.75292,                0.35981,                 1.0126,               0.003961,               0.003961,               0.003961
                     63,                0.71245,                0.38551,                0.94101,                0.95025,                0.97064,                0.97787,                0.80457,                0.75675,                0.36474,                 1.0152,               0.003862,               0.003862,               0.003862
                     64,                0.70438,                0.38387,                0.93756,                0.94487,                0.96715,                0.97867,                0.80548,                0.74863,                0.36398,                 1.0099,               0.003763,               0.003763,               0.003763
                     65,                0.69964,                0.37544,                 0.9375,                0.95189,                0.96069,                0.97675,                0.80984,                0.74357,                0.36348,                 1.0098,               0.003664,               0.003664,               0.003664
                     66,                0.69563,                0.37384,                0.93487,                0.95061,                0.95845,                 0.9763,                 0.8097,                0.74531,                0.36272,                 1.0127,               0.003565,               0.003565,               0.003565
                     67,                0.69163,                0.36788,                 0.9323,                0.94919,                0.96215,                0.97712,                0.80844,                0.74742,                0.35843,                 1.0129,               0.003466,               0.003466,               0.003466
                     68,                0.68615,                 0.3676,                0.93276,                0.95488,                 0.9634,                0.97538,                 0.8075,                0.74054,                 0.3611,                 1.0068,               0.003367,               0.003367,               0.003367
                     69,                0.68223,                 0.3674,                0.93193,                0.95111,                0.96359,                 0.9776,                 0.8124,                0.73669,                0.35797,                  1.004,               0.003268,               0.003268,               0.003268
                     70,                0.67856,                0.36113,                0.93035,                0.95211,                0.96443,                0.97879,                0.81266,                0.74267,                0.35278,                 1.0108,               0.003169,               0.003169,               0.003169
                     71,                 0.6749,                0.35859,                0.92491,                 0.9507,                0.96747,                0.97847,                0.80913,                0.74421,                0.34745,                 1.0098,                0.00307,                0.00307,                0.00307
                     72,                0.66759,                0.35503,                0.92504,                0.95172,                0.96602,                0.97763,                0.81042,                0.73866,                0.34703,                 1.0074,               0.002971,               0.002971,               0.002971
                     73,                0.67039,                0.35651,                0.92314,                0.94052,                0.97508,                0.97775,                0.81082,                0.73854,                0.35139,                 1.0047,               0.002872,               0.002872,               0.002872
                     74,                0.66673,                0.35471,                0.92672,                0.95685,                 0.9597,                0.97795,                0.81108,                0.74092,                0.35005,                 1.0107,               0.002773,               0.002773,               0.002773
                     75,                0.66446,                0.35435,                0.92792,                0.95353,                0.96196,                 0.9777,                0.81166,                0.73672,                0.35143,                 1.0057,               0.002674,               0.002674,               0.002674
                     76,                0.65698,                0.34656,                0.92438,                0.95413,                0.96416,                0.97628,                0.81405,                0.73198,                0.34856,                 1.0025,               0.002575,               0.002575,               0.002575
                     77,                0.65148,                 0.3441,                0.91872,                0.95977,                0.95796,                0.97763,                0.81354,                0.73818,                0.35288,                 1.0092,               0.002476,               0.002476,               0.002476
                     78,                0.64486,                0.34377,                0.91859,                0.95076,                0.96405,                 0.9758,                0.81253,                0.73984,                0.35183,                 1.0151,               0.002377,               0.002377,               0.002377
                     79,                0.64304,                0.34496,                0.91574,                0.94993,                0.96568,                0.97588,                0.81228,                0.73679,                0.35525,                 1.0088,               0.002278,               0.002278,               0.002278
                     80,                0.64003,                0.33888,                0.91484,                0.95167,                0.96415,                0.97583,                0.81288,                 0.7405,                 0.3499,                 1.0129,               0.002179,               0.002179,               0.002179
                     81,                0.63515,                0.33262,                0.91785,                0.94712,                0.96832,                0.97714,                0.81388,                0.73847,                0.34379,                 1.0112,                0.00208,                0.00208,                0.00208
                     82,                0.62709,                0.32909,                0.91087,                0.95424,                0.96517,                  0.978,                0.81461,                0.73792,                0.34029,                 1.0121,               0.001981,               0.001981,               0.001981
                     83,                0.62553,                0.33109,                0.90852,                 0.9524,                0.96865,                0.97944,                0.81247,                0.73566,                0.34172,                 1.0108,               0.001882,               0.001882,               0.001882
                     84,                0.61793,                 0.3232,                0.90403,                 0.9508,                0.97002,                0.97939,                0.81262,                0.74107,                0.34327,                 1.0169,               0.001783,               0.001783,               0.001783
                     85,                0.61598,                0.32213,                0.90609,                0.95132,                 0.9694,                0.97768,                 0.8133,                0.74256,                0.34331,                 1.0173,               0.001684,               0.001684,               0.001684
                     86,                0.61138,                 0.3176,                0.90397,                0.95409,                0.97139,                0.97798,                0.81257,                 0.7382,                0.34323,                 1.0111,               0.001585,               0.001585,               0.001585
                     87,                0.60952,                 0.3162,                0.90284,                0.95233,                0.97031,                0.97621,                0.80991,                  0.739,                0.34272,                 1.0115,               0.001486,               0.001486,               0.001486
                     88,                0.60414,                0.31139,                0.90017,                0.95579,                0.96674,                0.97701,                0.81237,                0.74146,                0.34097,                 1.0171,               0.001387,               0.001387,               0.001387
                     89,                0.59887,                0.31052,                0.89993,                0.95367,                0.96734,                0.97785,                0.81357,                0.73981,                0.34175,                 1.0136,               0.001288,               0.001288,               0.001288
                     90,                0.59945,                0.31159,                0.89971,                0.95283,                 0.9692,                0.97754,                0.81315,                0.73901,                0.34402,                 1.0126,               0.001189,               0.001189,               0.001189
                     91,                0.54874,                0.27584,                0.88694,                0.95143,                0.96627,                  0.976,                0.81006,                0.73836,                0.34598,                 1.0135,                0.00109,                0.00109,                0.00109
                     92,                0.54118,                0.27278,                 0.8834,                0.95233,                0.96346,                0.97423,                 0.8084,                0.73632,                0.34553,                 1.0126,               0.000991,               0.000991,               0.000991
                     93,                0.53696,                0.27056,                  0.876,                0.95263,                0.96289,                0.97262,                0.80762,                0.73549,                0.34719,                 1.0127,               0.000892,               0.000892,               0.000892
                     94,                0.52722,                0.26663,                0.87657,                0.95296,                0.96497,                0.97256,                 0.8075,                0.73361,                0.34838,                 1.0135,               0.000793,               0.000793,               0.000793
                     95,                0.52722,                 0.2636,                0.87759,                0.95441,                0.96447,                0.97212,                0.80532,                0.73385,                0.34618,                  1.015,               0.000694,               0.000694,               0.000694
                     96,                0.51657,                0.26093,                0.87357,                0.95455,                 0.9637,                0.97327,                0.80684,                0.73392,                0.34674,                 1.0147,               0.000595,               0.000595,               0.000595
                     97,                0.51664,                0.25762,                0.87417,                0.95389,                0.96386,                0.97325,                0.80648,                0.73368,                0.34861,                 1.0172,               0.000496,               0.000496,               0.000496
                     98,                0.50883,                0.25595,                0.87048,                0.95477,                0.96329,                0.97345,                0.80676,                0.73323,                0.34883,                 1.0188,               0.000397,               0.000397,               0.000397
                     99,                0.50758,                0.25254,                0.87111,                0.95319,                0.96303,                0.97326,                0.80612,                0.73431,                0.34885,                 1.0212,               0.000298,               0.000298,               0.000298
                    100,                0.49996,                0.25043,                0.86893,                0.95308,                0.96414,                0.97338,                0.80423,                0.73464,                0.34917,                 1.0217,               0.000199,               0.000199,               0.000199
